id	filename	md5	size	state
064e93c5-c828-49ea-8237-0ae6589527d4	7a290b19-7fdb-4af9-a536-68c099bf989f.wxs.aliquot_ensemble_masked.maf.gz	a3d22e4d479b760fe5117da9d9499ea8	51075	released
df5883ba-af5f-4995-ad79-f59948383046	88d42b6e-8ec6-49c4-a9e9-393d330f9c7f.wxs.aliquot_ensemble_masked.maf.gz	eccf0cd4aa0c50693103bd47effff421	38445	released
f9a84ca3-8e18-43f2-b655-5108d2d5886d	74528a9f-b43d-4bdd-af29-166732abb877.wxs.aliquot_ensemble_masked.maf.gz	bcf1571b7a8c43e13df9d32ad4803997	293616	released
8baf3aaf-bc22-4886-9096-b84051e83035	895a643c-3800-463f-b4bb-9ac188834ce8.wxs.aliquot_ensemble_masked.maf.gz	c0db343ba17e3a35a08a5e8344fd867e	191347	released
60a768a5-8ed9-4fa5-bf00-e2a6a7196934	1ed69aae-d5ac-4ac3-ba34-66c3d9ea0efc.wxs.aliquot_ensemble_masked.maf.gz	a18bbe47f83d607628f703225b6b6c4e	38150	released
0eae8ec3-5b78-44e8-a7f9-d32894c507f3	170d24a4-e681-4531-ac88-f2901f20c15e.wxs.aliquot_ensemble_masked.maf.gz	efc47859f562b8beb27f7feaf846428f	35509	released
a8d1e736-7f67-4890-9269-a39701470f6a	bd464555-25a7-44c4-addb-e0e6be0f7469.wxs.aliquot_ensemble_masked.maf.gz	b220452ad88a20c849884985a0c4e760	31464	released
59db711c-18c9-454a-b875-458233cc579f	4f91338e-e9b6-4009-9c69-1fbe05d4ff66.wxs.aliquot_ensemble_masked.maf.gz	f965bf60d1285c301d19b1c9c6950272	12782	released
dc130caa-1b5e-4db3-834d-4dc73a152a63	326d8288-b990-4470-8991-47182ddca145.wxs.aliquot_ensemble_masked.maf.gz	2beb5a8321e223238c4609dd08e6161c	5860	released
d5dbb770-7460-4b58-9625-fee9e483bee3	a93f017a-7b85-43dc-9ffa-f4d4bd9e31fc.wxs.aliquot_ensemble_masked.maf.gz	f6c54c57ea774e06c00b50edbe5cb311	24874	released
b31b878f-87d3-4cf0-aa25-03c1a9fd7706	99eb5a8e-6244-4456-aea4-dc337380ef7a.wxs.aliquot_ensemble_masked.maf.gz	8c7da1459b5f2e13bec5535bd77af117	574989	released
a2a9d469-4fca-4198-b90d-f8c0b13de192	8344f7c1-f805-4a3f-bd1b-2a86977d8ac8.wxs.aliquot_ensemble_masked.maf.gz	12f11d60aca166234df64ada1baf9499	18126	released
28cac5aa-d3f1-4481-b000-0aab06093ae3	fd73e279-9bf9-4ce6-b72b-8d9462a4ba5d.wxs.aliquot_ensemble_masked.maf.gz	fe3e473ec0f0f9b6934eaeded8e71214	196753	released
d97df25f-82e2-4079-97f6-d4562e9312b4	e8007b95-51dc-439a-82ea-83dfbd009a4e.wxs.aliquot_ensemble_masked.maf.gz	a0d5d5d98a8f59f4beb35c57ab4cf3a2	25904	released
e69292f8-b3ba-4de8-adf4-a6982991998f	ab18b87f-30b5-4a1f-9f8b-8d77e00db196.wxs.aliquot_ensemble_masked.maf.gz	4e9267630a83480ff0245b5a2a8b9ef5	32475	released
0dc945ce-422c-49db-916d-5d7fa5da2aab	3f9bf8be-ec0f-4334-9a2d-c7f8f6deaa32.wxs.aliquot_ensemble_masked.maf.gz	283e5ccf7550e6b5e3ed4127b5d6dced	39437	released
d8d8febb-0267-4f69-8132-70ea4301253b	610d7d7d-c09e-4dd0-b9ec-25fcd0846963.wxs.aliquot_ensemble_masked.maf.gz	d8559414537664e08c5de29b0b1f6ce4	162810	released
404ccaee-7f9c-45c0-822a-5e2791e706d2	b6d14c3f-dec5-44fa-969f-9a4ec20c9aa9.wxs.aliquot_ensemble_masked.maf.gz	d9cd6ac6ef23c12bc6362614ad1217d1	19348	released
af981ddf-de79-4777-a313-dfa619c867e9	ea9f8aaf-bb1c-46b8-bfc0-388d029f9d47.wxs.aliquot_ensemble_masked.maf.gz	876d9e802f3d66b270c8fe3030a3f604	10615	released
29137404-8f00-4817-9545-e5798140fd57	ded9a424-a11d-4a10-9d10-e02c50f984b1.wxs.aliquot_ensemble_masked.maf.gz	6e802850d4f1324e08bb92cb2ef3e6a9	17561	released
843e0b25-9e7a-4664-b50d-4aa1b18c7715	645f018e-8d38-45ed-afbc-3ffece2dcd9d.wxs.aliquot_ensemble_masked.maf.gz	9d2f141e3f921c908f0ea53761d4a300	28265	released
4271791f-ab84-4e76-a82e-a862c28d9652	1262e94d-41a0-47c5-a62d-49af31fa8040.wxs.aliquot_ensemble_masked.maf.gz	61cc6d2f1bfd7262ba5c13b725407127	1432942	released
463946f6-282a-402a-8206-205f29cc3595	eba5d04d-7376-4b8c-85a5-712b05167b16.wxs.aliquot_ensemble_masked.maf.gz	df84770ae993d3bbcf28b65a928867bf	269703	released
2c349319-634f-4e1e-842b-8367b251590f	17b43359-8401-41fc-9a4c-c73b5f086c0b.wxs.aliquot_ensemble_masked.maf.gz	cf31e50038b3c91a63e483d3c16a1844	38439	released
ee8a4980-0d7e-4e3d-978c-365f4cc376c9	32b1cfa9-b1bf-4fa6-82f3-69a6123588a3.wxs.aliquot_ensemble_masked.maf.gz	52c3c00f04b0cb721659f71b942779fc	27121	released
5f352171-ce05-4c59-a62b-429ee4b025f9	f9fbc967-2ef5-42e3-9ade-fda75cf2f560.wxs.aliquot_ensemble_masked.maf.gz	7e3ca66843e79438d806cdc40ae6ac44	49241	released
43709afb-b729-4866-a897-ad31521e8682	5f3c2c64-dc9f-4fbe-8321-f30a7da68b02.wxs.aliquot_ensemble_masked.maf.gz	94e8eceb2d8237d41e492394a25808b9	23297	released
9c96bef5-29ec-40eb-9a73-05cbdc0281b8	370302ea-e4f8-4fa1-857a-2ddd5916c3a9.wxs.aliquot_ensemble_masked.maf.gz	ff063f910563d43140b6e9a444c24932	629180	released
10608c0a-a531-40c8-8e7a-b948a90f05f3	709c9366-2677-4892-b128-46792582c97a.wxs.aliquot_ensemble_masked.maf.gz	c92ad55bd85ed5bf7755a978f5be95ec	20321	released
c4da0496-5a69-47ee-8517-5e87a2b47a31	a44f4029-0949-4a94-bc49-8d41f50ccd47.wxs.aliquot_ensemble_masked.maf.gz	888b8728d40e7a60fa0ff05e8e02bc17	19372	released
